19,1020,30,1025,83,43
120,80,110,80,24,
90,60,110,70,22,
120,90,130,100,24,
120,80,130,90,23,
110,70,90,60,22,
105,50,100,70,23,
120,90,130,90,23,
120,70,130,80,24,
110,80,100,90,23,
130,80,110,70,22,
100,60,110,80,22,
130,80,95,60,22,
130,80,100,60,23,
110,70,100,50,23,
120,80,120,70,24,
120,80,100,70,23,
130,70,120,70,24,
130,80,110,70,23,
110,70,110,70,24,
120,70,120,60,23,
130,80,130,90,23,
120,70,120,70,24,
130,90,130,80,24,
100,60,90,60,22,
140,80,130,80,22,
110,70,120,70,22,
120,60,130,60,23,
110,80,110,60,23,
110,60,100,60,22,
120,80,120,80,23,
100,50,90,60,24,
